AssinaturaID,TipodeAssinatura,Validade,Preco
1,"3ª Idade",2023-07-31,0.00
2,Normal,2023-07-31,40.00
3,Sub13,2023-07-31,0.00
4,Sub23,2023-06-30,22.50
5,Sub23,2023-06-30,30.00
6,"3ª Idade",2023-07-31,0.00
7,Normal,2023-07-31,30.00
8,Sub13,2023-06-30,0.00
9,"Sub23 A",2023-07-31,16.00
10,Normal,2023-06-30,40.00
11,Sub23,2023-06-30,30.00
12,"3ª Idade",2023-07-31,0.00
13,Sub13,2023-07-31,0.00
14,Normal,2023-07-31,30.00
15,Sub13,2023-07-31,0.00
16,Normal,2023-05-31,40.00
17,Normal,2023-07-31,40.00
18,Normal,2023-05-31,30.00
19,Sub23,2023-06-30,22.50
20,Sub23,2023-07-31,30.00
21,Sub23,2023-05-31,22.50
22,"3ª Idade",2023-07-31,0.00
23,Sub23,2023-07-31,30.00
24,"3ª Idade",2023-05-31,0.00
25,"3ª Idade",2023-06-30,0.00
26,Normal,2023-05-31,30.00
27,Normal,2023-06-30,30.00
28,"Sub23 A",2023-05-31,16.00
29,Normal,2023-06-30,40.00
30,Sub23,2023-07-31,30.00
