ViagemID,InicioViagem,DataViagem,Validacao
151,"Trindade ",2023-06-08,"Não Validado"
189,"Faria Guimarães",2023-06-06,Validado
198,Lapa,2023-06-10,Validado
203,Viso,2023-06-14,Validado
264,Bolhão,2023-06-10,Validado
298,"Senhora da Hora",2023-05-28,Validado
326,"Casa da Música",2023-06-13,"Não Validado"
327,"Hospital de São João",2023-06-14,Validado
387,Trindade,2023-06-15,"Não Validado"
419,Bolhão,2023-06-10,"Não Validado"
442,"Campo 24 de Agosto",2023-06-01,Validado
445,"Senhora da Hora",2023-06-04,Validado
503,Marquês,2023-06-12,Validado
517,Campanhã,2023-06-07,"Não Validado"
532,Aliados,2023-05-13,"Não Validado"
535,Francos,2023-06-15,Validado
563,Salgueiros,2023-06-01,Validado
586,"Pólo Universitário",2023-06-15,Validado
606,Viso,2023-06-14,"Não Validado"
634,"São Bento",2023-06-15,Validado
669,Aeroporto,2023-06-01,Validado
687,Ramalde,2023-06-11,"Não Validado"
705,"São Bento",2023-06-11,Validado
717,"Carolina Michaelis",2023-06-14,Validado
748,Aliados,2023-06-14,Validado
762,"Senhor de Matosinhos",2023-05-31,Validado
785,Heroísmo,2023-05-25,Validado
812,"Parque Maia",2023-06-07,"Não Validado"
821,Aeroporto,2023-05-31,"Não Validado"
828,Lapa,2023-06-09,Validado
